country,n,gratitude,hope,love,inspiration,serenity,fear,anger,sadness,stress,distrust,loneliness,socialconnected
Japan - JPN,2485,3.22020202,2.666396761,2.884397736,2.522267206,2.859400324,2.43719611,2.447411003,2.422375355,2.757612667,2.503439903,2.46530334,2.54244898
United States of America (the) - USA,2474,3.820398212,3.055623224,3.525974026,2.766518038,2.88225741,2.215909091,2.485192698,2.531084925,3.344981715,1.855866829,2.586797066,3.321530322
Poland - POL,1332,3.142533937,3.023413897,3.663133989,2.74452003,3.291005291,2.335342879,2.361090083,2.524924471,2.851320755,2.19306184,2.396135266,3.394949495
Croatia - HRV,785,4.185659411,3.317197452,3.878826531,2.933757962,3.43877551,2.005102041,2.095663265,2.034482759,2.556687898,1.756377551,2.097737943,3.420401195
Australia - AUS,671,3.710447761,3.044709389,3.433283358,2.656203288,2.850746269,2.07761194,2.323880597,2.556053812,3.127055306,1.722801788,2.573631841,3.258032129
Hungary - HUN,569,3.25659051,3.075704225,3.683745583,2.270650264,2.922398589,2.073943662,1.97707231,2.343309859,3.23415493,1.691358025,2.576080521,3.643698469
France - FRA,568,2.970017637,2.984126984,3.415492958,2.728395062,2.88028169,1.924162257,2.365079365,2.184859155,2.828318584,1.875,2.197399527,3.143952802
Germany - DEU,544,3.686924494,3.285451197,3.887867647,2.63099631,3.42883549,1.983425414,2.259668508,2.060661765,2.626617375,1.579044118,2.198281154,3.525308642
United Kingdom of Great Britain and Northern Ireland (the) - GBR,542,3.543438078,2.787037037,3.516605166,2.364312268,2.739292365,2.175276753,2.256029685,2.3974122,2.666666667,1.737523105,2.395291202,3.333955224
Italy - ITA,487,3.199178645,2.874485597,3.556468172,2.572895277,2.919917864,2.517453799,2.369609856,2.339506173,2.973305955,2.078028747,2.226584022,3.115702479
China - CHN,465,3.106060606,3.223684211,3.264642082,2.859307359,3.299349241,1.980477223,2.006521739,2.046052632,2.390455531,1.779475983,2.121611722,3.059259259
Chile - CHL,450,4.020089286,3.32885906,3.830357143,3.16027088,3.315436242,2.238202247,2.329621381,2.32885906,2.995525727,1.973154362,2.341628959,3.470278405
Nigeria - NGA,434,4.459584296,4.136890951,3.700460829,3.782909931,3.815668203,2.35334873,2.406466513,2.41108545,2.762672811,2.136258661,2.532717475,3.141647421
Kenya - KEN,431,4.009302326,3.744779582,3.47099768,3.448837209,3.430232558,2.770301624,2.596287703,2.6612529,2.75990676,2.216783217,2.633956386,3.051162791
Sweden - SWE,427,3.290398126,3.037558685,3.422535211,2.75175644,3.141176471,1.969339623,2.122931442,2.147887324,2.421176471,1.727699531,2.300947867,3.303459119
Austria - AUT,413,3.5,3.266343826,3.566909976,2.613138686,3.518248175,1.963680387,2.041463415,1.946341463,2.150121065,1.670702179,1.97485807,3.34789644
Egypt - EGY,376,3.672,3.390957447,3.593085106,3.287234043,3.390957447,1.970744681,2.378666667,2.429333333,2.757978723,1.688829787,2.456,2.81054513
