geography,corrupt_government_yes_2019,corrupt_government_no_2019,corrupt_government_yes_2009,corrupt_government_no_2009,corrupt_bussinesses_yes_2019,corrupt_bussinesses_no_2019,corrupt_bussinesses_yes_2009,corrupt_bussinesses_no_2009,smile_laugh_yes_2019,smile_laugh_no_2019,smile_laugh_yes_2009,smile_laugh_no_2009,rested_yes_2019,rested_no_2019,rested_yes_2009,rested_no_2009,enjoyment_yes_2019,enjoyment_no_2019,enjoyment_yes_2009,enjoyment_no_2009,physical_pain_yes_2019,physical_pain_no_2019,physical_pain_yes_2009,physical_pain_no_2009,worry_yes_2019,worry_no_2019,worry_yes_2009,worry_no_2009,stress_yes_2019,stress_no_2019,stress_yes_2009,stress_no_2009,sadness_yes_2019,sadness_no_2019,sadness_yes_2009,sadness_no_2009,anger_yes_2019,anger_no_2019,anger_yes_2009,anger_no_2009,stranger_return_bag_very_likely_2019,stranger_return_bag_somewhat_likely_2019,stranger_return_bag_not_likely_at_all_2019,police_return_bag_very_likely_2019,police_return_bag_somewhat_likely_2019,police_return_bag_not_likely_at_all_2019,neighbor_return_bag_very_likely_2019,neighbor_return_bag_somewhat_likely_2019,neighbor_return_bag_not_likely_at_all_2019,positive_index_2019,positive_index_2010,negative_index_2019,negative_index_2010,mean_empathic_concern,mean_perspective_taking,mean_total_empathy,patience,risktaking,posrecip,negrecip,altruism,trust,intentions,social,temp,precip,distcr,kgatrstr,western,wb_ssa,wb_mena,wb_eca,wb_sas,wb_eap,wb_nam,wb_lac,reli_b_prot_2000,rugged,ctfp_ave,ln_total_conflicts_prio,abslat,ln_patents_ave,lngdp_ave,mean_prediction_ftr,island,geo_conditions,bio_conditions,hfs_idv,CSIPost1500Ex_aa,ASIPost1500Ex_aa,wvs_important_risk,wvs_important_serve_society,wvs_trust,wvs_child_save,family_ties_pca,nopndrop_wals_w,volunteering_gdp,hofstede_lto,hofstede_idv,hofstede_uai,ln_articles,europe_west,europe_east,cpi_score_2012,cpi_score_2013,cpi_score_2014,cpi_score_2015,cpi_score_2016,cpi_score_2017,cpi_score_2018,cpi_score_2019
Afghanistan,0.8691794194188347,0.07015434648387266,0.8073559791388198,0.10966560427142052,0.846093305038331,0.07431631340834545,0.7218624285672859,0.15001401820874988,0.31290896768404036,0.6855082005545733,0.4775380287213959,0.4953015496095143,0.4494868542721602,0.5499327928354156,0.6612117998559787,0.3309946800553656,0.38817437788547715,0.610097153546922,0.5465222475761704,0.4296305539840208,0.44555868776852575,0.5544413122314742,0.2727586191689411,0.6965511359453723,0.6493565574850513,0.3504218057422757,0.2859095658470698,0.685885837751422,0.4431670888495981,0.5554644036664618,0.24189010662503246,0.7177189919360126,0.44256182128977123,0.5574381787102287,0.265242432826602,0.7083675779804139,0.4156119110189409,0.5843880889810591,0.1416409983689097,0.8353667619909161,0.02543825699791968,0.1697807190211743,0.7987236391320959,0.074686220270975,0.3541866490621324,0.5369099634718756,0.18780600378242648,0.40994014376125354,0.39869793441862456,38.31695632873113,59.30697836358809,47.92512132823775,26.9061969629839,NA,NA,NA,-0.20136012136936188,0.12076426297426224,0.2896409034729004,0.25471246242523193,0.1664554625749588,0.31596440076828003,6.260107517242432,0.37792015075683594,12.403884887695312,28.071910858154297,0.9423509836196899,0,0,0,0,0,1,0,0,0,0,2.518146183415607,NA,3.178053855895996,34.516666412353516,NA,5.6251115798950195,0.3745529353618622,0,NA,NA,NA,1850.598388671875,755.68377685546875,NA,NA,NA,NA,NA,6.491047679446638e-4,NA,NA,NA,NA,5.912481719860807e-5,0,0,8,8,12,11,15,15,16,16
Albania,0.805723418701781,0.08077459592089643,0.7269452415775888,0.11664882127947378,0.8465044998781526,0.07675095414675281,0.6699912974686748,0.10500362968087794,0.7118453330639866,0.2813938863691868,0.5886626883492588,0.3623560296473863,0.5611892370893135,0.4355965294098648,0.6505545200011894,0.3035567946045837,0.6378855371883384,0.3567479280714957,0.6314864231512409,0.324431110768424,0.4640481007491963,0.5337941384455102,0.32429699579304255,0.6520194753901534,0.37251544124104574,0.62556541227615,0.37464103996994563,0.5947588384682005,0.4894348588895558,0.5084801415965559,0.3575768223138535,0.6043179611674874,0.24634079313979682,0.7495290748748601,0.1989270730341131,0.7649107343141289,0.1995072431111805,0.7961575585391308,0.2376135361744799,0.7316025476172077,0.023381119577395568,0.2312764564970597,0.7196181674287873,0.24890699453882253,0.391461592081265,0.32445056724643595,0.1981310081765687,0.41669302280123266,0.36678319683650457,62.21777329621422,61.934961420013,35.436928742615684,32.52152086810553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,31,33,36,39,38,36,35
Argentina,0.7786778893162615,0.1621350550828778,0.8535045262003592,0.08920918745602474,0.7861773399286658,0.16551005539209038,0.8034680023287996,0.1289839976986148,0.8109918008517943,0.17829133289801444,0.8701762570491037,0.11946809592493099,0.6683894318494885,0.3279659879265361,0.7967779384593832,0.1956028100974242,0.8270389186028315,0.16996515087137537,0.8639274291346074,0.12802901727806135,0.4195476541715024,0.5804523458284976,0.2667692734009905,0.7275893736759755,0.5221074396107648,0.4761354711142349,0.38252906207777837,0.6136404021348305,0.399669489788436,0.5938591771249184,0.22209883135355346,0.7677507900089867,0.26065172056938907,0.7373082741540076,0.19288200482542908,0.8046014508378168,0.17053144709553175,0.8248515069391362,0.13623535777429355,0.8568682804436712,0.09836989299744293,0.34214191839845415,0.5460430175816225,0.17962031601781545,0.3588086082627985,0.44174512293206386,0.3574928525258101,0.4026759761521573,0.23410352730707612,76.50419033933889,79.18697083743841,35.45015502471248,23.052710594037343,3.46,3.45,3.46,-0.22930797934532166,0.041503168642520905,0.15967930853366852,-0.14045727252960205,0.02734668180346489,-0.2067333310842514,4.826724529266357,-0.005110417027026415,13.966665267944336,52.90504455566406,0.2716419994831085,0.12257800251245499,0,0,0,0,0,0,0,1,0.034,0.7746106347558306,0.5523704290390015,0,34.66666793823242,6.774223804473877,8.580906867980957,1,0,-0.10830000042915344,-0.7688999772071838,46,3764.755126953125,1544.2406005859375,2.0813252925872803,3.441814661026001,0.20185275375843048,0.26836511492729187,0.016964677721261978,0.009763676323927939,2.359999895095825,20,46,86,0.05197761952877045,0,0,35,34,34,32,36,39,40,45
Armenia,0.33355651624690963,0.4386595184956896,0.7360194224801687,0.07926093200762681,0.5205038981547243,0.23456319555552327,0.7372834647794496,0.10203043387934599,0.6157235697749563,0.35698437966281915,0.5689264658942703,0.3851032709106898,0.4967171150410232,0.48462086989299036,0.427333478083135,0.5619143539788276,0.5530105113442392,0.4201802675692782,0.4747541439365511,0.4930065971928868,0.3932639357525159,0.6021471707888787,0.349381588954685,0.6441470209492144,0.5195275570346335,0.4763232389369043,0.4757819425540509,0.5141724502002475,0.2010083473681511,0.7890211507616085,0.1554014218326794,0.8307292455027961,0.38731234209499027,0.6055551281067294,0.36868537097919896,0.6136997929189771,0.381325266672901,0.614405380259275,0.37390442336234236,0.6168712073282466,0.08311766238005855,0.4332672919365931,0.35659300120717585,0.3759618548917201,0.3572398036570101,0.18148873028343898,0.37501996120427517,0.3835857315269624,0.16030085998746532,60.2841341182782,52.279643888462175,37.64874897846345,36.097902579381525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,36,37,35,33,35,35,42
Australia,0.3733903248952224,0.5212315115805303,NA,NA,0.3871564104532798,0.5083242581866325,NA,NA,0.7449416728656607,0.23891654736194412,NA,NA,0.689920391205858,0.3050852955270993,NA,NA,0.7829210133216415,0.2159970721540791,NA,NA,0.25139003257601156,0.747782231474746,NA,NA,0.31283058319541146,0.6837374370579101,NA,NA,0.35949399041346775,0.6391101215353908,NA,NA,0.17667419977927548,0.8217813461393098,NA,NA,0.11822898684580763,0.8807875260320559,NA,NA,0.07119944595840039,0.6381225802002986,0.28296643378365016,0.8050201951866993,0.1524070488860865,0.03759317909744739,0.7311400811054259,0.23291577583814732,0.028494189949328383,75.49836310326766,79.72448186642416,24.372355856199462,23.88528794664549,3.47,3.47,3.47,0.6570037603378296,0.1371365487575531,0.06966002285480499,0.022189751267433167,0.15533144772052765,0.29897257685661316,6.2135114669799805,0.24775566160678864,21.334566116333008,45.187477111816406,0.3548869788646698,0.08786260336637497,1,0,0,0,0,1,0,0,0.322,0.14333531001434321,0.8659884333610535,3.044522523880005,33.88333511352539,7.856358528137207,10.4378023147583,1,0,NA,NA,90,3319.537353515625,1260.39697265625,1.8724902868270874,3.287292718887329,0.46983397006988525,0.24263039231300354,-0.22905169427394867,0.8897393559817601,1.9900000095367432,21,90,51,0.510681688785553,0,0,85,81,80,79,79,77,77,77
Austria,0.4252273490306252,0.474067606509479,0.40849812548893044,0.3722867190812636,0.39238647434131974,0.4886219408810512,0.4253398119922922,0.38248773072216175,0.7894611414812095,0.20910304061110319,0.713353027413493,0.2569909112820359,0.7814235753565008,0.21802137055200832,0.739253073118783,0.25721107119504644,0.7581655028232676,0.2418344971767324,0.8234545159340138,0.16208422438850953,0.25520598539924105,0.744794014600759,0.20376975948477855,0.7950137902185415,0.2647047032264948,0.732689119064116,0.2715967888603579,0.7237275652275227,0.31061505963869396,0.6888251459093995,0.2793815267289154,0.7173185907984987,0.1807949036570206,0.8183329330986234,0.14275328747731236,0.8490894978514134,0.1687167078924432,0.8312832921075568,0.08801705626403038,0.9061045276878091,0.1048727296216772,0.5982801179865617,0.2813762963013046,0.8569409048418601,0.113779394009642,0.02598146166966436,0.7749363089694553,0.15354554669174114,0.06020514987017686,77.69109497535452,75.35020199128277,23.60074719627779,18.674888783593392,3.58,3.59,3.58,0.6082850098609924,-0.06182915344834328,0.1610465943813324,-0.055415451526641846,-0.035363130271434784,0.15462811291217804,5.817678451538086,0.13517940044403076,6.847277641296387,82.06183624267578,0.0794890969991684,0,0,0,0,1,0,0,0,0,0.05,3.5131805634261775,0.9432281851768494,2.079441547393799,48.21666717529297,7.727138519287109,10.531413078308105,0,0,1.7026000022888184,1.3883999586105347,55,4184.408203125,1535.5994873046875,NA,NA,NA,NA,NA,0.11639710143208504,0.7799999713897705,60,55,70,0.33028581738471985,1,0,69,69,72,76,75,75,76,77
Azerbaijan,NA,NA,0.653736588121426,0.18294588673409312,0.3044275976726866,0.3613361853843982,0.6282481222376233,0.18791762377497528,0.5979863387050602,0.34211272580126756,0.5326584654018341,0.42759164876281985,0.6161807756340425,0.3624392518224756,0.5606684612149638,0.4262193275606977,0.606226909320925,0.35114118205678874,0.6098458720904247,0.37643011240764973,0.19276137810935898,0.7977772083344473,0.30128279497475713,0.6925059965043999,0.22317156310456948,0.7550206457543899,0.30801183353799444,0.6762978757287649,0.1303382005037951,0.8348439573998343,0.1465800867196674,0.8279513006871734,0.11910574302431337,0.8513709327847893,0.1843541767393109,0.7934730082245102,0.13135069445786185,0.8316098413991441,0.20830120803977212,0.7658403390372609,0.060282212993198823,0.4226535516560783,0.3051006997324947,0.3810473730721112,0.38855096201460626,0.10471606954346208,0.44148189795477943,0.4537247679067885,0.06247844943740471,62.02944228867431,53.54097742309264,15.934551583997896,25.771464726826935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,28,29,29,30,31,25,30
Bahrain,NA,NA,0.3088562265246485,0.42375778831305044,NA,NA,0.4290316931129228,0.36995450630285764,0.7793068327329338,0.20818066935509677,0.7665223627401232,0.21020901376110365,0.712872532745215,0.27548025770194423,0.7686051455815088,0.22335968297720668,0.7283188655216222,0.26623548966305816,0.7430736033954025,0.2473069807751327,0.34793851769600487,0.6507003304625234,0.4238348298649293,0.5681400646792055,0.3990564712605203,0.5937156508052526,0.44664575279541113,0.5481909592907306,0.41054567214588417,0.5842332206238458,0.3422229136177337,0.6564690934311749,0.24335431392350704,0.7529896082645522,0.2568649291702275,0.7245180725424774,0.30456533398110064,0.689163842410242,0.5397888923519187,0.4589025521848399,0.13865883613489954,0.5111266895197658,0.3168609788144653,0.7294925980293963,0.20535278411002159,0.03858842273381521,0.5800256648486672,0.2993766439581302,0.10051776494029942,74.74884061606598,64.47235147021267,34.109206180140525,46.89186883178096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,48,49,51,43,36,36,42
Bangladesh,0.5064514416994049,0.36583192916587753,0.7207539809332862,0.20197130471916674,0.6560020245067324,0.255070770807303,0.7035900883044666,0.20974517187122121,0.5103512282795307,0.476413087261973,0.658356973010939,0.336061248517608,0.6458325902264238,0.35050963053948997,0.6534836296813915,0.34566632647479134,0.5576968969316559,0.43800082547597974,0.6689013783477495,0.3293985339646162,0.40222393982632465,0.5968172258023947,0.19655791402464068,0.8023539071990979,0.502065246370067,0.4966216111244685,0.29904634489264476,0.6998654763310939,0.3177312485204779,0.664378521116139,0.2163381724229636,0.7814155147573308,0.38145428474834275,0.6090265330225314,0.24086740056044195,0.757110276471523,0.21794309959471697,0.7745796800651482,0.13063943369877393,0.8642459104941761,0.05413618789771651,0.34091576064453233,0.5716640312580341,0.24392068228897737,0.4476975832964222,0.2587712406982609,0.18729029473325534,0.4952151223500677,0.28973399129893734,55.26478929321738,59.39080978449724,36.42835638119859,29.46922728794366,NA,NA,NA,0.08113671094179153,-0.19806775450706482,0.1543675661087036,0.11328817158937454,0.9064632654190063,-0.17336532473564148,4.918229103088379,0.427579790353775,24.894916534423828,220.37149047851562,0.04112350195646286,1,0,0,0,0,1,0,0,0,0.001,0.18641045730851716,NA,1.3862943649291992,23.700000762939453,3.8958935737609863,6.085818767547607,1,0,0.5533999800682068,0.12240000069141388,20,2685.56640625,1326.6995849609375,NA,NA,0.22218486666679382,0.5438016653060913,-0.05724574625492096,0.0906274626031518,NA,47,20,60,0.0010821059113368392,0,0,26,27,25,25,26,28,26,26
Belarus,0.3975504623902007,0.3160374095010711,0.39461314034814005,0.1674076204118064,0.4039297177290324,0.36100527192137266,0.41214242793831213,0.2109539688252487,0.5570622138200207,0.37298293694356977,0.5235682602514791,0.36688803568192724,0.6329852507734496,0.343326800778823,0.5416351162590533,0.4046257332366917,0.536142054225143,0.4045196283311849,0.5643474742312702,0.3578573176751172,0.24005850145214164,0.7457400274689191,0.2561586148850851,0.7212534886197253,0.2113408295653187,0.7710409621541651,0.25809762522878005,0.7124261787835586,0.21151037786999122,0.7755161067256611,0.12205987321685818,0.840555965287747,0.18986625690187103,0.7884641312452073,0.25203717398571784,0.7207417246798803,0.16716624232254515,0.8257275562485205,0.14867457309419,0.8245276598209971,0.08310143649582048,0.4965108900889977,0.3338072876707607,0.45420997436110055,0.4149444784278684,0.08563843773782606,0.39348438549375847,0.4811548654430156,0.09508556972780077,59.16589951906444,57.22759154637235,20.398844162237417,18.837152591697564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,29,31,32,40,44,44,45
